"JIRA project"	"Team"	"Product Owner"	"Dev Lead/Contact"	"First Release"	"Module"	"BE Framework"	"Tests repository"	"DB Usage"	"Kafka Usage"	"Platform(Eureka/OKAPI)"	"ECS(Central/Member/All)/NonECS/Both"	"Application"
"MODINVIMP"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Sif+%28GBV%29+Team"";""Sif"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:f80403de-e149-421e-8750-af45c853402f?ref=confluence"";""Charlotte Whitt"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5bffed5e2434bf3a1a91d37a?ref=confluence"";""Niels Erik Nielsen"")"		"mod-inventory-import"	"Vert.x"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/MODINVUP"";""MODINVUP"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Sif+%28GBV%29+Team"";""Sif"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:f80403de-e149-421e-8750-af45c853402f?ref=confluence"";""Charlotte Whitt"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5bffed5e2434bf3a1a91d37a?ref=confluence"";""Niels Erik Nielsen"")"		"=HYPERLINK(""https://github.com/folio-org/mod-inventory-update"";""mod-inventory-update"")"	"Vert.x"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/MODNCIP"";""MODNCIP"")"	"FSE"	"TBD"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/60dc7950ee648800687a4cdf?ref=confluence"";""Michelle Suranofsky"")"		"=HYPERLINK(""https://github.com/folio-org/mod-ncip"";""mod-ncip"")"	"Vert.x"
"=HYPERLINK(""https://folio-org.atlassian.net/projects/MODSET"";""MODSET"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/pages/viewpage.action?pageId=1398566"";""Thor"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:f80403de-e149-421e-8750-af45c853402f?ref=confluence"";""Charlotte Whitt"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5c38e8d616ac1e4f7cbc660a?ref=confluence"";""Kurt Nordstrom"")"	"Orchid (R1 2023)"	"=HYPERLINK(""https://github.com/folio-org/mod-settings/"";""mod-settings"")"	"Vert.x"		"Y"
"n/a"	"Siphon"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:b8e64633-1f7c-402d-9caf-9959a5ba5d0d?ref=confluence"";""Jakub Skoczen"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:b8e64633-1f7c-402d-9caf-9959a5ba5d0d?ref=confluence"";""Jakub Skoczen"")"		"extensions to edge-sip2"	"Vert.x"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/OKAPI"";""OKAPI"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Core+Platform+team"";""Core Platform"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:b8e64633-1f7c-402d-9caf-9959a5ba5d0d?ref=confluence"";""Jakub Skoczen"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5ee89462f7aa140abd82d11d?ref=confluence"";""Julian Ladisch"")"		"=HYPERLINK(""https://github.com/folio-org/okapi"";""okapi"")"	"Vert.x"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/RMB"";""RMB"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Core+Platform+team"";""Core Platform"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:b8e64633-1f7c-402d-9caf-9959a5ba5d0d?ref=confluence"";""Jakub Skoczen"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5ee89462f7aa140abd82d11d?ref=confluence"";""Julian Ladisch"")"		"=HYPERLINK(""https://github.com/folio-org/raml-module-builder"";""raml-module-builder"")"	"Vert.x"
"=HYPERLINK(""https://folio-org.atlassian.net/projects/SIP2/"";""SIP2"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Volaris+Team"";""Volaris"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/62e94faeb5b801a9afeeccc1?ref=confluence"";""Tim Auger (Lead)"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/63fc4679f00d095406f1e855?ref=confluence"";""Gurleen Kaur1"")"		"=HYPERLINK(""https://github.com/folio-org/edge-sip2"";""edge-sip2"")"	"Vert.x"
"=HYPERLINK(""https://folio-org.atlassian.net/projects/VERTXLIB"";""VERTXLIB"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/display/FOLIJET/Core+Platform+team"";""Core Platform"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:b8e64633-1f7c-402d-9caf-9959a5ba5d0d?ref=confluence"";""Jakub Skoczen"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5ee89462f7aa140abd82d11d?ref=confluence"";""Julian Ladisch"")"		"=HYPERLINK(""https://github.com/folio-org/folio-vertx-lib"";""folio-vertx-lib"")"	"Vert.x"		"Y"
"=HYPERLINK(""https://folio-org.atlassian.net/browse/ERM"";""ERM"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/spaces/ERM"";""Bienenvolk"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/557058:f42d9c43-226d-4aa3-bb31-9b2dd07920aa?ref=confluence"";""Owen Stephens"")"	"=HYPERLINK(""https://folio-org.atlassian.net/wiki/people/5d6e8ce134b3d20d9777f8f9?ref=confluence"";""Ethan Freestone"")"		"=HYPERLINK(""https://github.com/folio-org/mod-agreements"";""mod-agreements"")"	"SpringBoot/Grails"	"=HYPERLINK(""https://github.com/folio-org/mod-agreements/tree/master/service/src/integration-test"";""mod-agreements integration tests"")"	"Y"
